,Description,Category,SubCategory1,SubCategory2,SubCategory3
348,The detector indicates that there are 2 large paint cans next to the ORACs,Waste,Chemical waste,Small toxic waste,
349,There is a jerry can opposite the Esso,Waste,Chemical waste,Small toxic waste,
350,"Hekkenlaan, at nr 63 frying fat is put in the sewer by a resident. It belongs to a resident who lives at no. 63. This happens more often and can lead to blockages. Is there a possibility that you have spoken to Mrs.",Waste,Chemical waste,Small toxic waste,
351,large gas bottle in the square. police want this away urgently because of the many car fires.,Waste,Chemical waste,Small toxic waste,
352,"Please take away buckets with paint next to the orac's, other waste registered for removal ",Waste,Chemical waste,Small toxic waste,
353,Chemical waste presumably dumped by garage akpinar located at no.106,Waste,Chemical waste,Small toxic waste,
354,put several buckets of paint on the public road,Waste,Chemical waste,Small toxic waste,
355,Paint next to orac.,Waste,Chemical waste,Small toxic waste,
356,Yesterday there was work on the roof. Afterwards there were all kinds of small grains on the street. These appear to be absorption grains. These have now turned to sludge due to the rain and the sidewalk and parking lot are now mirror-smooth. Please clean up asap.,Waste,Chemical waste,Small toxic waste,
357,"received notification through enforcement of Cantaloupenburg play location has been a blue barrel with grease in it for a long time and has a lockable lid. According to residents, this one of the departed owner of a restaurant on Frederickstraat. please have it removed. watch out entrance gate not accessible to traffic, probably has to be removed with a hand truck. ",Waste,Chemical waste,Small toxic waste,
358,"There is glass and glue around the containers. The rain has spread this. Garbage bags are placed around it, which are eventually placed in the container, but glass and glue etc. remain there. This happens every 2/3 weeks, and all containers around these oracs are always neat and tidy. They may be removed from my part, as there is garbage everywhere every 2 weeks",Waste,Chemical waste,Small toxic waste,
359,There is glass on the street.,Waste,Chemical waste,Small toxic waste,
360,"There is an oil tank here, which still has oil in it. The gentleman now has it in his neighbor's garage, due to fear of fire hazard. Would like to be called when it is picked up so that he can put it outside.",Waste,Chemical waste,Small toxic waste,
361,On the loop at the environmental street boxes with cans of used motor oil,Waste,Chemical waste,Small toxic waste,
362,Bag full of electricity waste on the street,Waste,Chemical waste,Small toxic waste,
363,"The gentleman has seen that there is a broken bucket of paint on the Loosduinseweg, with paint stain. Is it possible that this will be cleaned up?",Waste,Chemical waste,Small toxic waste,
364,graffiti sprayed on both sides of the bread container. Please clean and remove this,Waste,Chemical waste,Small toxic waste,
365,"Chemical waste, paint residue, masking tape, probably from adjacent car paint shop on me 106",Waste,Chemical waste,Small toxic waste,
366,"Mr. Amiot, had a bulky waste appointment on January 7 (201912290084). The neighbors also had a bulky waste appointment on the same day (201912230201). Now there is a paint pot which probably comes from number 288, but Mr. 286 has had a note in his letterbox that he has offered paint and that this is not allowed. He's not going to bring it back in because it's not his. But he does want to make sure that he will not have any problems with this.",Waste,Chemical waste,Small toxic waste,
367,bucket of whitewash or paint or d.,Waste,Chemical waste,Small toxic waste,
368,battery at the tree,Waste,Chemical waste,Small toxic waste,
369,"In October there was a report of spilled paint on the street (MOR1893114), still nothing has happened. When will this be removed? Original report In our street, near our house number 1e Sweelinckstraat 40, someone has spilled a large pot of white paint or something similar on the street (?), Where cars often stand. Is it possible that the municipality can clean / remove this in the short term?",Waste,Chemical waste,Small toxic waste,
370,bucket of whitewash next to orac,Waste,Chemical waste,Small toxic waste,
371,The reporter indicates that today bulky waste has been collected but that there is still about 4 to 5 buckets of 10L of paint on the street.,Waste,Chemical waste,Small toxic waste,
372,Chemical waste near a tree was deposited at the Nikkelwerf.,Waste,Chemical waste,Small toxic waste,
373,There are plastic paint buckets etc. on the street.,Waste,Chemical waste,Small toxic waste,
374,no name already reported 3x,Waste,Chemical waste,Small toxic waste,
375,"There is 1 large full paint bucket, it has been there for 2 weeks now, please remove it. ",Waste,Chemical waste,Small toxic waste,
376,The detector indicates that there is a gas cylinder on the street. It is unclear whether it is still filled or not. Please take away.,Waste,Chemical waste,Small toxic waste,
377,"Ms indicates there is a laughing gas bottle in the bushes, Ms has put it inside her garden out of danger for children, please pick it up ",Waste,Chemical waste,Small toxic waste,
378,Paint fell on the street and a car drove through,Waste,Chemical waste,Small toxic waste,
379,Large amount of glass on the curb,Waste,Chemical waste,Small toxic waste,
380,Customer indicates that the river is purple / pink. Just like paint is in the water. He really liked it and wants the congregation to go there to take a good look at the situation.,Waste,Chemical waste,Small toxic waste,
381,Chemical waste coolant on the road due to collision.,Waste,Chemical waste,Small toxic waste,
382,Coolant on the road due to collision,Waste,Chemical waste,Small toxic waste,
383,Frying pan with oil found,Waste,Chemical waste,Small toxic waste,
384,there are 2 olikans in the street on the rossienilaan,Waste,Chemical waste,Small toxic waste,
385,Dumping waste; car tires and small chemical waste.,Waste,Chemical waste,Small toxic waste,
386,Glass on the floor near the benches,Waste,Chemical waste,Small toxic waste,
387,Glass plates next to the containers.,Waste,Chemical waste,Small toxic waste,
388,"There are fluorescent tubes next to the collection container that are now broken, please pick them up asap. ",Waste,Chemical waste,Small toxic waste,
389,It looks like a liquid,Waste,Chemical waste,Small toxic waste,
390,Frying pan (full) placed near an orac. I've seen a lot but this beats everything.,Waste,Chemical waste,Small toxic waste,
391,Oil on the road. This is dangerous for motorcycles,Waste,Chemical waste,Small toxic waste,
392,"Chemical waste, possibly oil but could also be something else, large stains and strong odor coming off. In the water. Over a length of 150 meters.",Waste,Chemical waste,Small toxic waste,
393,"paint dumped on the street with bulky waste, including remnants of a cannabis nursery",Waste,Chemical waste,Small toxic waste,
394,Glass on the road and a wine glass (please remove),Waste,Chemical waste,Small toxic waste,
395,"Oil tanks on the roadway, and car tires. Has been previously reported please delete!",Waste,Chemical waste,Small toxic waste,
396,A cannabis farm was dumped in the parking lot behind Grinding Mill 27.,Waste,Chemical waste,Small toxic waste,
397,Medicines probably used by a junkie standing on the street at a firebreak. Please clean up.,Waste,Chemical waste,Small toxic waste,
398,There are boxes of medicines in the alley. ,Waste,Chemical waste,Small toxic waste,
399,"Paint pots next to the oracs, between the bulky waste. ",Waste,Chemical waste,Small toxic waste,
400,Mister indicates that there is a gas bottle at their premises and would like it to be removed as soon as possible.,Waste,Chemical waste,Small toxic waste,
401,"Customer reports paint, turpentine and other chemicals on the street, is thrown on the street by the people who renovate. Client wants those who do it to be fined and enforced to come by.",Waste,Chemical waste,Small toxic waste,
402,Chemical waste on the street (buckets of paint),Waste,Chemical waste,Small toxic waste,
403,Please remove broken glass plates in the street as soon as possible,Waste,Chemical waste,Small toxic waste,
404,Chemical waste on the road from a burnt car. ,Waste,Chemical waste,Small toxic waste,
405,There is a 10 liter jerry can with chemical material next to the ORAC. Please remove this asap.,Waste,Chemical waste,Small toxic waste,
406,there is a box of paint cans on the street,Waste,Chemical waste,Small toxic waste,
407,there is a bucket of paint on the sidewalk,Waste,Chemical waste,Small toxic waste,
408,Report from the police that a jerry can with unknown liquid has been found on the sidewalk. This jerry can is about 50 cm high. Please clean these up.,Waste,Chemical waste,Small toxic waste,
409,fridge on the sidewalk.,Waste,Chemical waste,Small toxic waste,
410,small fridge or freezer on the sidewalk near the benches.,Waste,Chemical waste,Small toxic waste,
411,"Litter (car tire, jerry can, wood, plastic bottles, etc.) in the pond Haagse Hogeschool is now located in the corner adjacent to Fijnjekade and Enthovenplein.",Waste,Chemical waste,Small toxic waste,
412,chemical waste on the street. styrofoam,Waste,Chemical waste,Small toxic waste,
413,Dyeing on the grass outside.,Waste,Chemical waste,Small toxic waste,
414,"2 underground waste containers, pot of paint spilled / sand thrown over it. on the sidewalk and continues to the oracs, can this be cleaned up?",Waste,Chemical waste,Small toxic waste,
415,"Mr. indicates that someone has put down bottles with oil, turpentine and water and that he refuses to throw them away. This gentleman has a registration number: 14XLHT. Can someone be sent asap please?",Waste,Chemical waste,Small toxic waste,
416,There are shards of glass in an alley on the corner.,Waste,Chemical waste,Small toxic waste,
417,Bulky waste and paint can,Waste,Chemical waste,Small toxic waste,
418,there is a jerry can with liquid ,Waste,Chemical waste,Small toxic waste,
419,There is a lot of glass on the street.,Waste,Chemical waste,Small toxic waste,
420,there is a gas tank in the street ,Waste,Chemical waste,Small toxic waste,
421,"There are big buckets of paint on the sidewalk, in torn-open garbage bags",Waste,Chemical waste,Small toxic waste,
422,There is oil on the road.,Waste,Chemical waste,Small toxic waste,
423,"There are chemical bottles in the trailer, sir would like to know if these are dangerous substances, there is a net stretched over it, is this safe because of children playing",Waste,Chemical waste,Small toxic waste,
424,There is glass in the sandbox of the playground. This is very dangerous for the children. Can this be cleaned up.,Waste,Chemical waste,Small toxic waste,
425,Paint cans on the street.,Waste,Chemical waste,Small toxic waste,
426,"Due to a car driving there is a lot of waste on the street such as oil, glass, etc. Can this be cleaned up.",Waste,Chemical waste,Small toxic waste,
427,"There is oil on the ground. Someone came to clean it up and sprayed some on, but it is still there. MOR2087789",Waste,Chemical waste,Small toxic waste,
428,There is glass next to a trash can and a bench on the floor. This is very dangerous for dogs and children walking around.,Waste,Chemical waste,Small toxic waste,
429,There is glass in a playground for children. Can this be cleaned up.,Waste,Chemical waste,Small toxic waste,
430,"A crate with (chemical waste) paint spray cans / cans has been dumped on the communal back path of the residential block Woudenbergstraat / Amerongenstraat. Has been there for 2 weeks now. And owner unknown. Due to recent quarantine and children playing outside who have not closed the gate properly, it is not possible to say with certainty where this box comes from",Waste,Chemical waste,Small toxic waste,
431,There is a gas burner bottle on the street. Can this be removed.,Waste,Chemical waste,Small toxic waste,
432,There is white liquid on the street. Can this be removed? Sir doesn't know exactly what it is.,Waste,Chemical waste,Small toxic waste,
433,"Bucket with paint, packaging of hair dye and packet of beamix cement is on the street.",Waste,Chemical waste,Small toxic waste,
434,there is a crate of spray cans at the pissuisestraat distribution box 144,Waste,Chemical waste,Small toxic waste,
435,There is chemical waste on the street. Is a blue barrel with a brown liquid in it.,Waste,Chemical waste,Small toxic waste,
436,gas bottle at light pole 5,Waste,Chemical waste,Small toxic waste,
437,2 tons of paint waste remain after picking up bulky waste this week. Owners should be known about bulky waste because a lot of bulky waste was collected this week. Please hold liable,Waste,Chemical waste,Small toxic waste,
438,Mrs. indicates that someone placed a pot of paint outside last night and it fell over. White paint is scattered all over the street. Please clean asap.,Waste,Chemical waste,Small toxic waste,
439,wastepaper bins full of it next to small bucket of paint and sack of raw meat.,Waste,Chemical waste,Small toxic waste,
440,Glass on the street,Waste,Chemical waste,Small toxic waste,
441,Broken glass in the street! please clean up as soon as possible,Waste,Chemical waste,Small toxic waste,
442,"There is a bucket labeled Guanidine Hydrochloride next to the orac. There are a lot of small children playing in the street here, so this is a major concern for me.",Waste,Chemical waste,Small toxic waste,
443,Bucket of chemical waste (almost empty) left on the street with the containers And other rubbish next to the ORACs ,Waste,Chemical waste,Small toxic waste,
444,"Via BB: ""4 jerry cans on the street with? Liquid""",Waste,Chemical waste,Small toxic waste,
445,On the street there are paint cans and 2 buckets of whitewash.,Waste,Chemical waste,Small toxic waste,
446,The oil tank is on the Verwoldenstraat at the light pole 14.,Waste,Chemical waste,Small toxic waste,
447,"Ms indicates that there is a lot of waste on the playground with play equipment, such as cardboard and a very large barrel. young people who hang around here always light a fire here and also leaves a lot of waste behind, says Ms. ",Waste,Chemical waste,Small toxic waste,
448,paint buckets next to orac.,Waste,Chemical waste,Small toxic waste,
449,there is a bucket of paint on the sidewalk at lot 24,Waste,Chemical waste,Small toxic waste,
450,"Ms indicates that there is an open paint bucket near the containers, can it be removed?",Waste,Chemical waste,Small toxic waste,
451,There is an oil barrel in the park,Waste,Chemical waste,Small toxic waste,
452,Last night bulky waste was set on fire on the Seinpoststraat and there is now a big black spot and burnt down junk and the lamppost has also turned black.,Waste,Chemical waste,Small toxic waste,
453,Oil on water. In addition to the sunken island approx.,Waste,Chemical waste,Small toxic waste,
454,There is chemical waste next to a collection container. Can this be cleaned up asap please?,Waste,Chemical waste,Small toxic waste,
455,"The reporter indicates that there is an IV needle, connection with blood, syringes, hoses, gloves, medicines, bottles. Please delete.",Waste,Chemical waste,Small toxic waste,
456,Paint cans have been placed in the street near the bulky waste. Could these be picked up asap?,Waste,Chemical waste,Small toxic waste,
457,The reporter indicates that gas bottles have been put on the street with other waste. The bottles are not completely empty. Please take away.,Waste,Chemical waste,Small toxic waste,
458,There is a gas bottle on the street ,Waste,Chemical waste,Small toxic waste,
459,"Menr is calling because 4 jerry canes with oil have been dumped between Oudehaagweg and roundabout Alberdastraat. along a cycle path, which can be dangerous",Waste,Chemical waste,Small toxic waste,
460,small fridge on the street ,Waste,Chemical waste,Small toxic waste,
461,Various paint cans / buckets on the sidewalk.,Waste,Chemical waste,Small toxic waste,
462,The neighbors throw paint in the sewer. ,Waste,Chemical waste,Small toxic waste,
463,Customer reports two buckets of paint left on the sidewalk a few weeks ago. ,Waste,Chemical waste,Small toxic waste,
464,There is a device in 1 of the waste bins that has been triggering an alarm from last night until now and it must be removed asap. The neighborhood has been bothered by it for hours. Container number: OG175,Waste,Chemical waste,Small toxic waste,
465,Environmental crime renewi and hotel des indes,Waste,Chemical waste,Small toxic waste,
466,"Madam indicates that there is a bucket with a lid, probably made of white paint, still lying on the street. Probably still full of white paint.",Waste,Chemical waste,Small toxic waste,
467,At the orac's there is litter and in between there are used injections. This is dangerous. Can this be cleaned up urgently?,Waste,Chemical waste,Small toxic waste,
468,"chemicals in jerry cans. Passed by telephone, already collected. but still mor-report.",Waste,Chemical waste,Small toxic waste,
469,"The gentleman indicates that he is making a report himself, but it has not been successful. He indicates that on Maanweg, opposite the Shell petrol station, there is half an engine block and 10 to 15 jerry cans with content (oil). Behind the crash barriers. ",Waste,Chemical waste,Small toxic waste,
470,"Tonight we went to take out our bulky waste around 11.45 pm. Then a white van with license plate BV 33 ZZ came to browse through our stuff that we had put there in a normal event! We went to pack some more from the garden and came back and the person had put dirt there! We noticed that and we talked to him about it! He then put a petrol barrel and a bag of chemical waste back on the bus. We only noticed when he was gone that there was still a plastic container with chemical waste. But the bird had flown. This is not ours so we wanted to report it. Called police said have my details noted with my report. And advised me to take a picture and to report Kind regards, fam Michels van den ijssel.",Waste,Chemical waste,Small toxic waste,
471,there is an old chemo box at pmd orac ,Waste,Chemical waste,Small toxic waste,
472,It stinks of gasoline from a cellar box,Waste,Chemical waste,Small toxic waste,
473,"On January 6 was the collection day for the Christmas trees, this has not happened, please still pick up. Also lie between the cars",Waste,Pollution New Year,Christmas trees,
474,Christmas tree on the street,Waste,Pollution New Year,Christmas trees,
475,The reporter indicates that the Christmas trees were not collected yesterday. Yesterday was the pick-up day and last Friday too .. It wasn't picked up then either. Please request to pick up the Christmas trees.,Waste,Pollution New Year,Christmas trees,
476,The reporter indicates that Christmas trees have been placed next to the ORACS. ORAC: 12V01007 Please remove.,Waste,Pollution New Year,Christmas trees,
477,there are a number of Christmas trees there (see photo) please do something about it as soon as possible due to deterioration and arson!,Waste,Pollution New Year,Christmas trees,
478,"Ms. indicated that the Christmas trees were offered on the collection days, but that they were not collected. It concerns the Forellendaal and the adjacent streets. Ms indicates that the Christmas trees are now being set on fire. Under the tunnel opposite the passage are also trees that have been set on fire. Please pick up urgently due to fire hazard.",Waste,Pollution New Year,Christmas trees,
479,The reporter indicates that the Christmas trees in his street were not collected last Monday according to the household waste calendar. ,Waste,Pollution New Year,Christmas trees,
480,Yesterday (07-01) the Christmas trees were not picked up in the Dwarskade. ,Waste,Pollution New Year,Christmas trees,
481,Christmas trees are still in the street,Waste,Pollution New Year,Christmas trees,
482,In the Van Loostraat (as the house calendar indicates) the Christmas trees would be picked up on Monday 06 January. Today (January 7) they are still there and Mrs is afraid that this will be set on fire.,Waste,Pollution New Year,Christmas trees,
483,"The Christmas trees were not picked up on Monday at Conelis Jolstraat The Hague. Put these on the street on Monday, January 6.",Waste,Pollution New Year,Christmas trees,
484,The reporter indicates that the Christmas trees were not collected throughout Zeeheldenkwartier yesterday.,Waste,Pollution New Year,Christmas trees,
485,The Christmas trees on Alexine Tinnepad 99 and 101 were not collected on January 6 (collection day).,Waste,Pollution New Year,Christmas trees,
486,THV number 22 is a parking box for a scooter and the Christmas tree is next to it.,Waste,Pollution New Year,Christmas trees,
487,"Mlder indicates that the Christmas trees would be picked up on 7-01, however, this did not happen",Waste,Pollution New Year,Christmas trees,
488,"The Christmas trees have not been displayed in the entire De Lanen district, despite the garbage calendar.",Waste,Pollution New Year,Christmas trees,
489,"The Christmas trees were NOT picked up at e Buitentuine last Monday, please pick them up after all.",Waste,Pollution New Year,Christmas trees,
490,the Christmas trees on the Vondelstraat were not picked up yesterday (7 years),Waste,Pollution New Year,Christmas trees,
491,The Christmas trees were not collected in the Rijstkamp.,Waste,Pollution New Year,Christmas trees,
492,The Christmas trees were not collected in the Willen van Nieuwenhuizenlaan. Can these still be picked up asap.,Waste,Pollution New Year,Christmas trees,
493,"On Monday the Christmas trees were picked up, in the street there is another Christmas tree, which was not taken.",Waste,Pollution New Year,Christmas trees,
494,There are many burnt Christmas trees next to the playground on the Schimmelweg,Waste,Pollution New Year,Christmas trees,
495,"Opposite the building of No. 31 on the Koperwerf, bulky litter and a Christmas tree have been dumped on the sidewalk.",Waste,Pollution New Year,Christmas trees,
496,Christmas tree on the sidewalk in the Prinsestraat.,Waste,Pollution New Year,Christmas trees,
497,Wooden bed and slatted base and Christmas tree.,Waste,Pollution New Year,Christmas trees,
498,Christmas tree on the street. ,Waste,Pollution New Year,Christmas trees,
499,"Christmas trees have been lying near the flat since yesterday, have not been collected. Christmas trees were already set on fire yesterday.",Waste,Pollution New Year,Christmas trees,
500,NEAR the orac are several Christmas trees,Waste,Pollution New Year,Christmas trees,
501,"There are several Christmas trees at all underground containers around the square on the Melis Stoke side, also in the bushes. Fire hazard given all incidents in the city.",Waste,Pollution New Year,Christmas trees,
502,"Yesterday was the collection day for Christmas trees, these were not collected. Please pick it up. It concerns 3 trees.",Waste,Pollution New Year,Christmas trees,
503,This concerns a whole pile of trees that have not been taken in 2 collection moments,Waste,Pollution New Year,Christmas trees,
504,Against the facade opposite number 21 there are a number of Christmas trees that have not been collected. ,Waste,Pollution New Year,Christmas trees,
505,Today (06-01) the Christmas trees were not picked up at Moerbeiplein. ,Waste,Pollution New Year,Christmas trees,
506,"Madam has offered her Christmas tree for today, it has not been collected.",Waste,Pollution New Year,Christmas trees,
507,They forgot to bring 2 Christmas trees on Weimarstraat. THV 405,Waste,Pollution New Year,Christmas trees,
508,"Madam presented her Christmas tree today, it was not collected.",Waste,Pollution New Year,Christmas trees,
509,The reporter indicates that today was the collection day for the Christmas trees. Mrs. Christmas tree has not been collected,Waste,Pollution New Year,Christmas trees,
510,"Today and last week the Christmas trees would be picked up in Edisonstraat, none of the days have been, sir is afraid that the Christmas trees will be set on fire if they are not picked up. ",Waste,Pollution New Year,Christmas trees,
511,"In the Heiloostraat, on the corner of the Escamplaan, there are many Christmas trees together. At the flat.",Waste,Pollution New Year,Christmas trees,
512,there are still many Christmas trees on the Melis Stokke side. Please pick up. Today is the collection day. Maybe they will be picked up because of this report.,Waste,Pollution New Year,Christmas trees,
513,"The Christmas trees in the Wormerveerstraat were supposed to be picked up, this did not happen. ",Waste,Pollution New Year,Christmas trees,
514,Christmas tree in the ditch,Waste,Pollution New Year,Christmas trees,
515,"Yesterday, Madam presented her Christmas tree correctly, it was not collected.",Waste,Pollution New Year,Christmas trees,
516,Christmas tree on the sidewalk opposite No. 8,Waste,Pollution New Year,Christmas trees,
517,"Yesterday the Christmas trees were supposed to be picked up in the Hanenburglaan, Madam's is still there.",Waste,Pollution New Year,Christmas trees,
518,"In the van der Parrastraat, there are about 30 Christmas trees that must be picked up asap. The whole sidewalk is no longer accessible.",Waste,Pollution New Year,Christmas trees,
519,"The Christmas tree has not yet been picked up here, was supposed to happen on Friday and the lady thinks they have forgotten her.",Waste,Pollution New Year,Christmas trees,
520,"Christmas trees were not removed yesterday, they are now in the street and in the flowerbeds",Waste,Pollution New Year,Christmas trees,
521,Christmas trees on the street.,Waste,Pollution New Year,Christmas trees,
522,"it is still completely full of Christmas trees here, madam is afraid of fire because an orac caught fire yesterday. Christmas trees are diagonally against a house, and if they catch fire it can get very out of hand.",Waste,Pollution New Year,Christmas trees,
523,Christmas trees all over the street not picked up on the scheduled pick up day. Please pick it up.,Waste,Pollution New Year,Christmas trees,
524,Christmas trees not collected,Waste,Pollution New Year,Christmas trees,
525,"Madam is now calling for the 2nd time to report Christmas trees blocking the entrance to a scooter shed. Yesterday Ms was promised that this would be cleaned up yesterday, but that did not happen. Please check and clean up as soon as possible, because several local residents cannot access their scooter now. (MOR1955052)",Waste,Pollution New Year,Christmas trees,
526,"The Christmas trees are in front of the garden door of Riouwstraat 154. That garden door is in the Lombokstraat, not a house number, at the oracs. The Lombok Street is so short that it cannot be missed.",Waste,Pollution New Year,Christmas trees,
527,Christmas trees next to Orac.,Waste,Pollution New Year,Christmas trees,
528,"Christmas tree was not picked up yesterday, is still on the street",Waste,Pollution New Year,Christmas trees,
529,There is a Christmas tree here.,Waste,Pollution New Year,Christmas trees,
530,There are Christmas trees here.,Waste,Pollution New Year,Christmas trees,
531,"Last week and yesterday, the Christmas trees were not collected from the gentleman in the street, but this was planned in the garbage calendar. Not even in the streets around it. Sir fears fire hazard. Please delete. ",Waste,Pollution New Year,Christmas trees,
532,"Christmas trees have also been trees for almost 5 days, unfortunately",Waste,Pollution New Year,Christmas trees,
533,"Good evening I just looked through the window and to my great surprise I saw a Christmas tree in the jasmine street near house number 82. I would like the enforcement to take the time to deal with my report and possibly issue a fine for this violation. I would also like to have telephone contact with law enforcement because it is becoming more and more with all that junk on the street. Thanks in advance,",Waste,Pollution New Year,Christmas trees,
534,Christmas tree next to Orac,Waste,Pollution New Year,Christmas trees,
535,Various Christmas trees at ORACS. Fire hazard.,Waste,Pollution New Year,Christmas trees,
536,"several Christmas trees near the underground containers, also in the bushes. Fire hazard given all incidents in the city.",Waste,Pollution New Year,Christmas trees,
537,Lots of Christmas trees are blocking the way!,Waste,Pollution New Year,Christmas trees,
538,about 10 trees that have been burned.,Waste,Pollution New Year,Christmas trees,
539,The reporter indicates that Christmas trees have been placed in front of the scooter hutch. Please delete,Waste,Pollution New Year,Christmas trees,
540,Thrown about 10 Christmas trees in the schoolyard,Waste,Pollution New Year,Christmas trees,
541,"Good morning, today the Christmas trees are picked up in the Beukstraat. Now neighboring children have dragged a large pile of trees on the Beukplein. That is difficult to see from the street. Can you point this out to those who collect the trees today so that the trees do not remain?",Waste,Pollution New Year,Christmas trees,
542,"The Christmas trees were supposed to be picked up in Madurolaan on January 3, this did not happen. ",Waste,Pollution New Year,Christmas trees,
543,"There is another Christmas tree on the street. This has not been collected. Can it be picked up for the time being, please?",Waste,Pollution New Year,Christmas trees,
544,"Mr. indicates that the Christmas tree will not be picked up on the collection day. Mr. indicates that he himself lives in a courtyard and this time will place the Christmas tree at the back of the house with address Schelfhoutstraat 16, 2526XP The Hague. Please pick up asap due to fire hazard.",Waste,Pollution New Year,Christmas trees,
545,Ms indicates that the Christmas trees would be picked up on 02-01. Now the Christmas tree is still there. Can this be picked up urgently please?,Waste,Pollution New Year,Christmas trees,
546,"Christmas tree on the sidewalk, with the wind it blows across the street",Waste,Pollution New Year,Christmas trees,
547,Christmas trees at orac,Waste,Pollution New Year,Christmas trees,
548,"In the Thorbeckelaan at 336 H are six Christmas trees, which should be picked up yesterday, this has not been done. Could these trees be removed asap.",Waste,Pollution New Year,Christmas trees,
549,"Thursday 02-01 the Christmas trees in the neighborhood would be picked up. That also happened, but not in the Aaltje Noordewierstraat. Next Monday is another collection day, but mrs is afraid that it will not be collected, just like in previous years. There are now a lot of them in the street, please make sure that they are removed asap.",Waste,Pollution New Year,Christmas trees,
550,The Christmas trees were not picked up in the street yesterday. This was planned.,Waste,Pollution New Year,Christmas trees,
551,"Madam indicates that a car just drove past for Christmas trees, but has not taken any trees.",Waste,Pollution New Year,Christmas trees,
552,Christmas tree at orac,Waste,Pollution New Year,Christmas trees,
553,This Christmas tree has been roaming the neighborhood around the containers for a few weeks ...,Waste,Pollution New Year,Christmas trees,
554,Christmas tree next to 16RB0119. ,Waste,Pollution New Year,Christmas trees,
555,"Christmas is over, I think. Christmas tree on the street.",Waste,Pollution New Year,Christmas trees,
556,There have been 2 Christmas trees in the green on the corner of Pieter Spastraat for quite some time. Please delete.,Waste,Pollution New Year,Christmas trees,
557,Christmas trees have not been collected. Can this still be done?,Waste,Pollution New Year,Christmas trees,
558,Christmas trees have been on the sidewalk for 1 week,Waste,Pollution New Year,Christmas trees,
559,Christmas tree has been on the street for days. ,Waste,Pollution New Year,Christmas trees,
560,There are 5 Christmas trees on a neighborhood playground.,Waste,Pollution New Year,Christmas trees,
561,A large Christmas tree has been standing at the address 2548 RV since the beginning of January.,Waste,Pollution New Year,Christmas trees,
562,Reporter indicates that there have been Christmas trees throughout the neighborhood for three weeks. at sir at the door there are already 3 and indicates that these are large Christmas trees.,Waste,Pollution New Year,Christmas trees,
563,there is a Christmas tree,Waste,Pollution New Year,Christmas trees,
564,The reporter indicates that a Christmas trees have been lying next to the ORAC since 13 January and are now blowing into the street. there are 2,Waste,Pollution New Year,Christmas trees,
565,2 Christmas trees have not been taken for a few weeks by the car of the municipality cleaning that is emptying the green boxes in our street. The trees take up much of the sidewalk.,Waste,Pollution New Year,Christmas trees,
566,Christmas tree is here from the beginning of January,Waste,Pollution New Year,Christmas trees,
567,There is still a Christmas tree lying around on the sidewalk by the tree.,Waste,Pollution New Year,Christmas trees,
568,Christmas trees on playground,Waste,Pollution New Year,Christmas trees,
569,"There is a Christmas tree and bulky waste near the underground containers, this has been here for a while cannot be removed bvd",Waste,Pollution New Year,Christmas trees,
570,Christmas tree next to collection container.,Waste,Pollution New Year,Christmas trees,
571,Description 2 Christmas trees left on the sidewalk,Waste,Pollution New Year,Christmas trees,
572,It is a Christmas tree that has been there for at least a week at the height of the ORACs next to a tree (see photo). Please remove as soon as possible due to deterioration and possible arson.,Waste,Pollution New Year,Christmas trees,
573,there is a Christmas tree on the sidewalk,Waste,Pollution New Year,Christmas trees,
574,There is a pile of Christmas trees in Hoefbladlaan at number 28. Can this be removed? A report was also made on 21-1-2020 and it was not picked up. Previous entry: MOR1970452 ,Waste,Pollution New Year,Christmas trees,
575,Christmas tree is still there! ,Waste,Pollution New Year,Christmas trees,
576,there are 2 Christmas trees near the oracs ,Waste,Pollution New Year,Christmas trees,
577,Placement of a Christmas tree next to container OR 18RB0475,Waste,Pollution New Year,Christmas trees,
578,there is a Christmas tree near the oracs ,Waste,Pollution New Year,Christmas trees,
579,"A Christmas tree (MOR1967026) that was not collected was reported on 17-01, it was transferred to HMS by environmental management Haagse Hout. The Christmas tree is still there. Please remove at the transformer house diagonally on the other side of Van Trigtstraat 57.",Waste,Pollution New Year,Christmas trees,
580,"By not picking up the Christmas trees in time, after the first report, they have now been partially set on fire, between 2 houses. This is already the second report .... I expect this to be resolved before the weekend. 😡😡",Waste,Pollution New Year,Christmas trees,
581,"My Christmas tree was not picked up while it was outside well in time .. other trees that were next to it, a few at first and the other now a week later too. So all except 1. I think this is very strange. I would like the tree to be picked up. Source: contact form 22-01-2020 21:05.",Waste,Pollution New Year,Christmas trees,
582,"The detector indicates that there is a Christmas tree, please remove it",Waste,Pollution New Year,Christmas trees,
583,A Christmas tree has been placed between the ORACs.,Waste,Pollution New Year,Christmas trees,
584,"There are still Christmas trees here and there on the Valkenboskade, could they still be picked up?",Waste,Pollution New Year,Christmas trees,
585,Mrs. indicates that there are all kinds of Christmas trees and newspapers in a hole near the skateboard park. Mrs. requests to remove this asap. It has been there since the turn of the year.,Waste,Pollution New Year,Christmas trees,
586,"This Christmas tree has been here for a while, can it be removed?",Waste,Pollution New Year,Christmas trees,
587,"There is a Christmas tree in the field, please pick it up.",Waste,Pollution New Year,Christmas trees,
