,Description,Category,SubCategory1,SubCategory2,SubCategory3
691,The street has construction and demolition waste on it.,Waste,Bulky waste,Bulky waste,Bulky waste
692,"There has been a lot of waste near a tree, including tiles.",Waste,Bulky waste,Bulky waste,Bulky waste
693,There has been a lot of waste near a tree for a long time.,Waste,Bulky waste,Bulky waste,Bulky waste
694,There has been a lot of waste near a tree.,Waste,Bulky waste,Bulky waste,Bulky waste
695,"There has been waste near a tree for months, including tiles.",Waste,Bulky waste,Bulky waste,Bulky waste
696,A scaffolding pipe is involved.,Waste,Bulky waste,Bulky waste,Bulky waste
697,There is a scaffolding pipe.,Waste,Bulky waste,Bulky waste,Bulky waste
698,It involves a pipe.,Waste,Bulky waste,Bulky waste,Bulky waste
699,There is a scaffolding pipe involved.,Waste,Bulky waste,Bulky waste,Bulky waste
700,A pipe is involved.,Waste,Bulky waste,Bulky waste,Bulky waste
701,"There have been road works in the street that have been completed, but the request to sweep away the excess sand is still being made.",Waste,Bulky waste,Bulky waste,Bulky waste
702,There is a container on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
703,A container is on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
704,The street has a container on it.,Waste,Bulky waste,Bulky waste,Bulky waste
705,Would you like to collect the red oil drum as soon as possible?,Waste,Bulky waste,Bulky waste,Bulky waste
706,There is a red oil drum next to a disabled parking lot.,Waste,Bulky waste,Bulky waste,Bulky waste
707,There is a red oil drum in a disabled parking lot and you want to collect it as soon as possible?,Waste,Bulky waste,Bulky waste,Bulky waste
708,Would you like to collect these as soon as possible?,Waste,Bulky waste,Bulky waste,Bulky waste
709,There is a full container on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
710,There is a garbage container on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
711,The waste container is full.,Waste,Bulky waste,Bulky waste,Bulky waste
712,A full waste container is on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
713,There is a pile on the public space.,Waste,Bulky waste,Bulky waste,Bulky waste
714,There is a pile of stone and iron on the public space.,Waste,Bulky waste,Bulky waste,Bulky waste
715,There is something on the public space that needs to be picked up.,Waste,Bulky waste,Bulky waste,Bulky waste
716,The reporter's upstairs neighbor has dumped an enormous amount of waste on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
717,"""One bag of soil.""",Waste,Bulky waste,Bulky waste,Bulky waste
718,There is one bag of soil.,Waste,Bulky waste,Bulky waste,Bulky waste
719,One bag of soil.,Waste,Bulky waste,Bulky waste,Bulky waste
720,The youngsters can destroy things in the street if the bricks are not removed now.,Waste,Bulky waste,Bulky waste,Bulky waste
721,There is a pile of paving stones.,Waste,Bulky waste,Bulky waste,Bulky waste
722,A pile of paving stones.,Waste,Bulky waste,Bulky waste,Bulky waste
723,A bag of sand is on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
724,There are old flower boxes.,Waste,Bulky waste,Bulky waste,Bulky waste
725,There is a piece of mattress or carpet.,Waste,Bulky waste,Bulky waste,Bulky waste
726,A piece of furniture.,Waste,Bulky waste,Bulky waste,Bulky waste
727,A piece of carpet or mattress.,Waste,Bulky waste,Bulky waste,Bulky waste
728,A mattress or carpet.,Waste,Bulky waste,Bulky waste,Bulky waste
729,Rini knows that there is a lot of waste on the streets.,Waste,Bulky waste,Bulky waste,Bulky waste
730,Rini knows about it.,Waste,Bulky waste,Bulky waste,Bulky waste
731,Rini is aware of the waste on the streets.,Waste,Bulky waste,Bulky waste,Bulky waste
732,Rini is aware of the large amount of waste on the streets.,Waste,Bulky waste,Bulky waste,Bulky waste
733,There is a lot of waste on the streets.,Waste,Bulky waste,Bulky waste,Bulky waste
734,Under the hubertus bridge.,Waste,Bulky waste,Bulky waste,Bulky waste
735,There is a bridge under the hubertus.,Waste,Bulky waste,Bulky waste,Bulky waste
736,The hubertus viaduct is under it.,Waste,Bulky waste,Bulky waste,Bulky waste
737,There is a bridge under the hubertus viaduct.,Waste,Bulky waste,Bulky waste,Bulky waste
738,Mister would like this to be removed and also look at who put it out.,Waste,Bulky waste,Bulky waste,Bulky waste
739,Mister wants the association to look at who put the waste out and remove it.,Waste,Bulky waste,Bulky waste,Bulky waste
740,A bag full of stones and tiles.,Waste,Bulky waste,Bulky waste,Bulky waste
741,There is a bag filled with stones.,Waste,Bulky waste,Bulky waste,Bulky waste
742,There is a construction waste bag.,Waste,Bulky waste,Bulky waste,Bulky waste
743,The customer wants to know if the construction waste and bicycles can be cleaned up.,Waste,Bulky waste,Bulky waste,Bulky waste
744,The customer wants to know if the waste can be cleaned up.,Waste,Bulky waste,Bulky waste,Bulky waste
745,Can this be cleaned up?,Waste,Bulky waste,Bulky waste,Bulky waste
746,The public road has demolition waste on it.,Waste,Bulky waste,Bulky waste,Bulky waste
747,Can the demolition waste be cleaned up?,Waste,Bulky waste,Bulky waste,Bulky waste
748,Can the public road be cleaned up?,Waste,Bulky waste,Bulky waste,Bulky waste
749,Construction and demolition waste.,Waste,Bulky waste,Bulky waste,Bulky waste
750,Waste from construction and demolition.,Waste,Bulky waste,Bulky waste,Bulky waste
751,Waste from construction and demolition work.,Waste,Bulky waste,Bulky waste,Bulky waste
752,There are rubbish bags on the sidewalk that are dangerous for the visually impaired.,Waste,Bulky waste,Bulky waste,Bulky waste
753,There are three garbage bags on the sidewalk that are dangerous for the visually impaired.,Waste,Bulky waste,Bulky waste,Bulky waste
754,There is a container here.,Waste,Bulky waste,Bulky waste,Bulky waste
755,The container has been here for a while.,Waste,Bulky waste,Bulky waste,Bulky waste
756,A foot of a barrier sign is involved.,Waste,Bulky waste,Bulky waste,Bulky waste
757,There is a barrier sign with white and red stripes.,Waste,Bulky waste,Bulky waste,Bulky waste
758,There is a foot of a barrier sign.,Waste,Bulky waste,Bulky waste,Bulky waste
759,The barrier sign is white with red stripes.,Waste,Bulky waste,Bulky waste,Bulky waste
760,"There are rocks, garbage bags, and car tires on the street.",Waste,Bulky waste,Bulky waste,Bulky waste
761,"There are stones, garbage bags, and car tires on the street.",Waste,Bulky waste,Bulky waste,Bulky waste
762,The branches were not picked up after Mrs. called.,Waste,Bulky waste,Bulky waste,Bulky waste
763,There are branches next to the container that have not been picked up.,Waste,Bulky waste,Bulky waste,Bulky waste
764,Some branches were not picked up after Mrs. called about them.,Waste,Bulky waste,Bulky waste,Bulky waste
765,Pick up is in front of the Roda Bookshop entrance on Piet Hein Street.,Waste,Bulky waste,Bulky waste,Bulky waste
766,Pick up is in front of the Roda Bookshop entrance.,Waste,Bulky waste,Bulky waste,Bulky waste
767,There is a pallet in front of the Roda Bookshop on Piet Hein Street.,Waste,Bulky waste,Bulky waste,Bulky waste
768,There is a pallet in front of the Roda Bookshop.,Waste,Bulky waste,Bulky waste,Bulky waste
769,"Someone put a stone bbq down while the reporter was there, this has not been removed.",Waste,Bulky waste,Bulky waste,Bulky waste
770,The reporter says that he had an appointment for the bulky waste and that someone put a stone bbq down.,Waste,Bulky waste,Bulky waste,Bulky waste
771,Someone put a stone bbq down while the reporter was at the bulky waste facility.,Waste,Bulky waste,Bulky waste,Bulky waste
772,Two containers could be squeezed out.,Waste,Bulky waste,Bulky waste,Bulky waste
773,Two containers may be squeezed out.,Waste,Bulky waste,Bulky waste,Bulky waste
774,Two containers can be squeezed out.,Waste,Bulky waste,Bulky waste,Bulky waste
775,Two containers might be squeezed out.,Waste,Bulky waste,Bulky waste,Bulky waste
776,"The iron on the sidewalk can be seen during the day, but can be dangerous in the evening.",Waste,Bulky waste,Bulky waste,Bulky waste
777,"The iron on the sidewalk can be seen during the day, but can be dangerous at night.",Waste,Bulky waste,Bulky waste,Bulky waste
778,The iron on the sidewalk can be dangerous for other people in the evening.,Waste,Bulky waste,Bulky waste,Bulky waste
779,The contents of the toilet were picked up this morning.,Waste,Bulky waste,Bulky waste,Bulky waste
780,"According to Mr., there was a chemical toilet in the street for a week.",Waste,Bulky waste,Bulky waste,Bulky waste
781,"There was a chemical toilet in the street for a week, but it was picked up this morning.",Waste,Bulky waste,Bulky waste,Bulky waste
782,Sand and stones have been dumped on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
783,There is construction and demolition waste on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
784,"Sand and stones have been dumped on the street, according to the reporter.",Waste,Bulky waste,Bulky waste,Bulky waste
785,Sand and stones have been dumped on the street as reported by the reporter.,Waste,Bulky waste,Bulky waste,Bulky waste
786,There are bags of cement next to the container.,Waste,Bulky waste,Bulky waste,Bulky waste
787,There are bags of material next to the container.,Waste,Bulky waste,Bulky waste,Bulky waste
788,There are bags of cement near the container.,Waste,Bulky waste,Bulky waste,Bulky waste
789,The customer said that this has not yet been picked up.,Waste,Bulky waste,Bulky waste,Bulky waste
790,The customer says that this has not yet been picked up.,Waste,Bulky waste,Bulky waste,Bulky waste
791,Employees of the company Hernubo laid the tiles inside their construction fences due to the Schilderswijk riots.,Waste,Bulky waste,Bulky waste,Bulky waste
792,Mister made 2 reports of construction and demolition waste that was left in a wheelie bin.,Waste,Bulky waste,Bulky waste,Bulky waste
793,There is a metal plate in the bushes.,Waste,Bulky waste,Bulky waste,Bulky waste
794,The metal plate is in the bushes.,Waste,Bulky waste,Bulky waste,Bulky waste
795,A metal plate is in the bushes.,Waste,Bulky waste,Bulky waste,Bulky waste
796,There are tiles on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
797,There are garden tiles on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
798,The street has tiles on it.,Waste,Bulky waste,Bulky waste,Bulky waste
799,The tiles on the street are loose.,Waste,Bulky waste,Bulky waste,Bulky waste
800,There is a shopping cart full of stone and tiles next to the location.,Waste,Bulky waste,Bulky waste,Bulky waste
801,There is a shopping cart full of stone and tiles near the location.,Waste,Bulky waste,Bulky waste,Bulky waste
802,A shopping cart full of stone and tiles is next to the location.,Waste,Bulky waste,Bulky waste,Bulky waste
803,"Someone needs to clean up the Container, it has been there for a long time.",Waste,Bulky waste,Bulky waste,Bulky waste
804,There is a container that has been used by third parties for a long time.,Waste,Bulky waste,Bulky waste,Bulky waste
805,There is a container that is being thrown in by third parties.,Waste,Bulky waste,Bulky waste,Bulky waste
806,There is a container that is being used by third parties.,Waste,Bulky waste,Bulky waste,Bulky waste
807,Something is thrown in there by third parties every day and the contractor throws it back onto the street.,Waste,Bulky waste,Bulky waste,Bulky waste
808,"""watch tap, printer""",Waste,Bulky waste,Bulky waste,Bulky waste
809,There are toilet pots and waste.,Waste,Bulky waste,Bulky waste,Bulky waste
810,There are pots and waste.,Waste,Bulky waste,Bulky waste,Bulky waste
811,There are toilets and waste.,Waste,Bulky waste,Bulky waste,Bulky waste
812,The pots and waste.,Waste,Bulky waste,Bulky waste,Bulky waste
813,There are toilet pots.,Waste,Bulky waste,Bulky waste,Bulky waste
814,There is a glass place between 1.50 and 1.80.,Waste,Bulky waste,Bulky waste,Bulky waste
815,There is a glass place between 2.50 and 2.50.,Waste,Bulky waste,Bulky waste,Bulky waste
816,The glass place is between 1.50 and 1.80.,Waste,Bulky waste,Bulky waste,Bulky waste
817,There is a glass place between 1.50 and 1.,Waste,Bulky waste,Bulky waste,Bulky waste
818,There is a glass place between 1.50 and 1.75.,Waste,Bulky waste,Bulky waste,Bulky waste
819,There is a lot of waste in the bushes.,Waste,Bulky waste,Bulky waste,Bulky waste
820,There is waste in the bushes.,Waste,Bulky waste,Bulky waste,Bulky waste
821,The bushes have a lot of waste in them.,Waste,Bulky waste,Bulky waste,Bulky waste
822,The waste is in the bushes.,Waste,Bulky waste,Bulky waste,Bulky waste
823,The Colleagues removed the bin that was dumped on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
824,The army removed the bin from the street.,Waste,Bulky waste,Bulky waste,Bulky waste
825,There is a bin on the street that has been removed.,Waste,Bulky waste,Bulky waste,Bulky waste
826,The bulky waste toilet bowl should be thrown away.,Waste,Bulky waste,Bulky waste,Bulky waste
827,There is a bulky waste toilet bowl.,Waste,Bulky waste,Bulky waste,Bulky waste
828,The toilet bowl should be thrown away.,Waste,Bulky waste,Bulky waste,Bulky waste
829,There are double glazed windows next to orac.,Waste,Bulky waste,Bulky waste,Bulky waste
830,There are two double glazed windows.,Waste,Bulky waste,Bulky waste,Bulky waste
831,Next to orac there are two double glazed windows.,Waste,Bulky waste,Bulky waste,Bulky waste
832,There is litter on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
833,There are doors on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
834,The street has litter on it.,Waste,Bulky waste,Bulky waste,Bulky waste
835,There are doors and litter on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
836,There is litter on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
837,There is garbage on the sidewalk and it blocks the road for pedestrians.,Waste,Bulky waste,Bulky waste,Bulky waste
838,There is trash on the sidewalk and it blocks the road for pedestrians.,Waste,Bulky waste,Bulky waste,Bulky waste
839,There is garbage on the sidewalk and it is blocking the road for pedestrians.,Waste,Bulky waste,Bulky waste,Bulky waste
840,A dog runs along a wooden pallet.,Waste,Bulky waste,Bulky waste,Bulky waste
841,Dog running along a wooden pallet.,Waste,Bulky waste,Bulky waste,Bulky waste
842,The dog is running along a wooden pallet.,Waste,Bulky waste,Bulky waste,Bulky waste
843,There is a lot of waste on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
844,There is waste on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
845,The waste is on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
846,There is trash on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
847,Garbage on the street.,Waste,Bulky waste,Bulky waste,Bulky waste
848,There has been renovation waste on the pavement for days.,Waste,Bulky waste,Bulky waste,Bulky waste
849,The pavement has been covered with renovation waste for days.,Waste,Bulky waste,Bulky waste,Bulky waste
850,The pavement has been filled with renovation waste for days.,Waste,Bulky waste,Bulky waste,Bulky waste
851,There has been renovation waste on the pavement for a long time.,Waste,Bulky waste,Bulky waste,Bulky waste
852,The dirt is great.,Waste,Bulky waste,Bulky waste,Bulky waste
853,Also wood and orac.,Waste,Bulky waste,Bulky waste,Bulky waste
854,Especially wood.,Waste,Bulky waste,Bulky waste,Bulky waste
855,"The dirt is great, especially wood.",Waste,Bulky waste,Bulky waste,Bulky waste
856,There is great dirt and wood.,Waste,Bulky waste,Bulky waste,Bulky waste
857,"GRT facade works as a central disposal site, and if other people throw goods in it, they are taken out and put on the street.",Waste,Bulky waste,Bulky waste,Bulky waste
858,The waste of Vaanster.,Waste,Bulky waste,Bulky waste,Bulky waste
859,The Waste of Vaanster.,Waste,Bulky waste,Bulky waste,Bulky waste
860,The waste of Vaanster and Energiek 2.,Waste,Bulky waste,Bulky waste,Bulky waste
861,The waste of Vaanster,Waste,Bulky waste,Bulky waste,Bulky waste
862,Waste of Vaanster.,Waste,Bulky waste,Bulky waste,Bulky waste
863,There is a bag next to oracs.,Waste,Bulky waste,Bulky waste,Bulky waste
864,There is a bag with paving stones.,Waste,Bulky waste,Bulky waste,Bulky waste
865,The bag is next to the oracs.,Waste,Bulky waste,Bulky waste,Bulky waste
866,Next to oracs there is a bag with paving stones.,Waste,Bulky waste,Bulky waste,Bulky waste
867,A woman has been looking at a mountain of stones and rubbish for four weeks.,Waste,Bulky waste,Bulky waste,Bulky waste
868,A woman has been looking at a mountain of stones and garbage for four weeks.,Waste,Bulky waste,Bulky waste,Bulky waste
869,A lady has been looking at a mountain of stones and rubbish for four weeks.,Waste,Bulky waste,Bulky waste,Bulky waste
870,A woman has been looking at a mountain of stones and trash for four weeks.,Waste,Bulky waste,Bulky waste,Bulky waste
871,A lady has been looking at a mountain of stones and garbage for four weeks.,Waste,Bulky waste,Bulky waste,Bulky waste
872,Garbage bags next to it.,Waste,Bulky waste,Bulky waste,Bulky waste
873,There are garbage bags next to it.,Waste,Bulky waste,Bulky waste,Bulky waste
874,Please remove this bag because it has debris in it.,Waste,Bulky waste,Bulky waste,Bulky waste
875,Please remove this bag because it is not for HWB.,Waste,Bulky waste,Bulky waste,Bulky waste
876,There was a fire at the location and a lot of sand was thrown over it.,Waste,Bulky waste,Bulky waste,Bulky waste
877,There was a fire at the southern pier and a lot of sand was thrown over it.,Waste,Bulky waste,Bulky waste,Bulky waste
878,Mister suggests that it is difficult to remove the glue from the disabled parking space.,Waste,Chemical waste,Chemical waste,Chemical waste
879,The question is whether the glue can be removed from the disabled parking space.,Waste,Chemical waste,Chemical waste,Chemical waste
880,Mister says that the streets are dirty and covered with paint because of the paint that remained on the street after bulky waste was collected.,Waste,Chemical waste,Chemical waste,Chemical waste
881,"Sir would like the streets to be cleaned up as soon as possible, as Mister indicates that the streets are dirty and covered in paint.",Waste,Chemical waste,Chemical waste,Chemical waste
882,There are many footsteps in the exit of the Spakenburgsestraat.,Waste,Chemical waste,Chemical waste,Chemical waste
883,There are a lot of footsteps in the exit of the Spakenburgsestraat.,Waste,Chemical waste,Chemical waste,Chemical waste
884,There are loose bricks on the street because 2 posts have come loose on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
885,There are loose bricks on the street according to the gentleman.,Waste,Bulky waste,Bulky waste,Bulky waste
886,There are loose bricks on the street because 2 posts came loose on the road.,Waste,Bulky waste,Bulky waste,Bulky waste
887,She wants it to be taken away because her neighbors think it's hers.,Waste,Bulky waste,Bulky waste,Bulky waste
888,She wants it to be taken away because she doesn't think it's hers.,Waste,Bulky waste,Bulky waste,Bulky waste
889,She wants it to be taken away because the stones are not hers.,Waste,Bulky waste,Bulky waste,Bulky waste
890,Melder rented a container for the renovation of his house and his ex-wife caught his neighbor dumping 2 large wooden pallets.,Waste,Bulky waste,Bulky waste,Bulky waste
891,Melder rented a container for the renovation of his house and his ex- wife caught his neighbor dumping 2 large wooden pallets.,Waste,Bulky waste,Bulky waste,Bulky waste
892,The Christmas trees in the street were not picked up on Monday due to the garbage calendar.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
893,The Christmas trees in the street were not picked up on Monday.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
894,Please pick up the Christmas trees in the street because they were not collected last Monday.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
895,The Christmas tree is in a container.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
896,A Christmas tree is in a container.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
897,There is a Christmas tree in a container.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
898,Next to a Christmas tree.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
899,There is a Christmas tree next to it.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
900,Next to a tree.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
901,The Christmas tree was not collected.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
902,The tree was not collected.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
903,A Christmas tree is not collected.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
904,There is a Christmas tree that is not collected.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
905,There are two Christmas trees on the corner.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
906,There are 2 Christmas trees on the corner.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
907,Two Christmas trees are on the corner.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
908,The Christmas tree was not picked up.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
909,The Christmas tree was not collected.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
910,The tree was not picked up.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
911,Christmas trees haven't been collected yet.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
912,Christmas trees have not been collected.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
913,The Christmas trees have not been collected.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
914,"There is a Christmas tree next to the oracs, but colleagues do not take it with them.",Waste,Pollution New Year,Pollution New Year,Pollution New Year
915,There is a Christmas tree next to the oracs and all of the colleagues are not allowed to take it with them.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
916,"The oracs have a Christmas tree next to them for the last 3 weeks, but colleagues do not take it with them.",Waste,Pollution New Year,Pollution New Year,Pollution New Year
917,Please report a Christmas tree that hasn't been picked up on the 11th of January.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
918,Please report a Christmas tree that hasn't been collected by the garbage calendar on January 11.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
919,"If you see a Christmas tree that has not been picked up, please report it.",Waste,Pollution New Year,Pollution New Year,Pollution New Year
920,The cherry tree is still there despite Sir indicating that it would be picked up on Wednesday last week.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
921,The cherry tree is still there despite Sir's report that it would be picked up on Wednesday last week.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
922,Christmas trees weren't collected in 33 Zandzeggelaan district.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
923,Christmas trees were not collected in the district.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
924,It is already January and nobody picked up my christmas tree.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
925,It is already January and nobody picked up my Christmas tree.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
926,The trees were supposed to be picked up on the 11th of January.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
927,"The trees were supposed to be picked up on Monday, but they were not.",Waste,Pollution New Year,Pollution New Year,Pollution New Year
928,"The trees were supposed to be picked up on Monday, January 11.",Waste,Pollution New Year,Pollution New Year,Pollution New Year
929,"The trees were supposed to be picked up on Monday, January 11th.",Waste,Pollution New Year,Pollution New Year,Pollution New Year
930,"We took the top of the tree with the dirt, but not the bottom.",Waste,Pollution New Year,Pollution New Year,Pollution New Year
931,Mister contacted us because there are 5 Christmas trees next to it and he wants us to take it with him.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
932,"Mister wants us to know that there are 5 Christmas trees next to it, so please take it with you.",Waste,Pollution New Year,Pollution New Year,Pollution New Year
933,Take the abandoned Christmas tree with you.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
934,You should take the abandoned Christmas tree with you.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
935,Take the abandoned Christmas tree with you as soon as possible.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
936,There is a Christmas tree in containers.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
937,The tree was dumped in containers.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
938,The Christmas tree is in containers.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
939,The tree is in containers.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
940,Please pick up the Christmas tree asap.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
941,Please pick up the Christmas tree as soon as possible.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
942,There is a container next to it.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
943,Next to a container.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
944,The container is next to it.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
945,It is next to a container.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
946,The Christmas tree has not been collected by appointment.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
947,A Christmas tree has not been collected by appointment.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
948,The Christmas tree has not been picked up by an appointment.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
949,"On January 14, a report was made of 12 Christmas trees that were not collected.",Waste,Pollution New Year,Pollution New Year,Pollution New Year
950,There were 12 Christmas trees that were not collected.,Waste,Pollution New Year,Pollution New Year,Pollution New Year
951,The oil was taken away by phone yesterday.,Waste,Chemical waste,Chemical waste,Chemical waste
952,A barrel of oil was taken away by phone yesterday.,Waste,Chemical waste,Chemical waste,Chemical waste
953,There was a barrel of oil in the street that was taken away by phone.,Waste,Chemical waste,Chemical waste,Chemical waste
954,There are cans next to oracs.,Waste,Chemical waste,Chemical waste,Chemical waste
955,There are paint cans near oracs.,Waste,Chemical waste,Chemical waste,Chemical waste
956,Next to oracs are paint cans.,Waste,Chemical waste,Chemical waste,Chemical waste
957,There are paint buckets and a pre-war agent at the house.,Waste,Chemical waste,Chemical waste,Chemical waste
958,There are paint buckets and pre-war agents at the house.,Waste,Chemical waste,Chemical waste,Chemical waste
959,Can the blue and pink waste be removed?,Waste,Chemical waste,Chemical waste,Chemical waste
960,Can the chemical waste be removed?,Waste,Chemical waste,Chemical waste,Chemical waste
961,"Sir, can you tell me if the chemical waste has been removed?",Waste,Chemical waste,Chemical waste,Chemical waste
962,Is it possible to remove the blue and pink colored waste?,Waste,Chemical waste,Chemical waste,Chemical waste
963,"Sir, can you please remove the blue and pink colored waste?",Waste,Chemical waste,Chemical waste,Chemical waste
964,There is a fluorescent lamp next to ORAC.,Waste,Chemical waste,Chemical waste,Chemical waste
965,The fluorescent lamp is next to the ORAC.,Waste,Chemical waste,Chemical waste,Chemical waste
966,The house of the lady has a can of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
967,There is a can of paint in the house of the lady.,Waste,Chemical waste,Chemical waste,Chemical waste
968,This is the week of Christmas and there is a can of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
969,There is a can of paint in the house.,Waste,Chemical waste,Chemical waste,Chemical waste
970,The week of Christmas is represented by a can of paint.,Waste,Chemical waste,Chemical waste,Chemical waste
971,"A lot of waste was left on the road after a collision, according to the police control room.",Waste,Chemical waste,Chemical waste,Chemical waste
972,A lot of waste was left on the road after a crash.,Waste,Chemical waste,Chemical waste,Chemical waste
973,A lot of waste was left on the road after a collision.,Waste,Chemical waste,Chemical waste,Chemical waste
974,Can the red track be cleaned up quickly?,Waste,Chemical waste,Chemical waste,Chemical waste
975,The street has a red track.,Waste,Chemical waste,Chemical waste,Chemical waste
976,Is it possible to clean up the red track?,Waste,Chemical waste,Chemical waste,Chemical waste
977,Can this be cleaned up quickly?,Waste,Chemical waste,Chemical waste,Chemical waste
978,Is there a way to clean up the red track?,Waste,Chemical waste,Chemical waste,Chemical waste
979,Can the police remove the gas bottle from the street?,Waste,Chemical waste,Chemical waste,Chemical waste
980,Can the police remove the laughing gas from the street?,Waste,Chemical waste,Chemical waste,Chemical waste
981,The reporter made a report on the advice of the police.,Waste,Chemical waste,Chemical waste,Chemical waste
982,There is a gas bottle on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
983,There is a gas bottle on the street and a reporter is going to report it to the police.,Waste,Chemical waste,Chemical waste,Chemical waste
984,There is a box next to the flat that has a number of bins in it.,Waste,Chemical waste,Chemical waste,Chemical waste
985,There is a box next to the flat with a number of bins and blue liquid.,Waste,Chemical waste,Chemical waste,Chemical waste
986,Cars drive by a parking lot on the corner of the street.,Waste,Chemical waste,Chemical waste,Chemical waste
987,Cars drive by a parking lot on the corner of Pluvierstraat when there is paint in it.,Waste,Chemical waste,Chemical waste,Chemical waste
988,Cars drive by a parking lot painted green on the corner of Pluvierstraat.,Waste,Chemical waste,Chemical waste,Chemical waste
989,The street has a gas bottle on it.,Waste,Chemical waste,Chemical waste,Chemical waste
990,There is a bottle on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
991,A gas bottle is on the street.,Waste,Chemical waste,Chemical waste,Chemical waste
992,There is a bottle outdoors.,Waste,Chemical waste,Chemical waste,Chemical waste
993,See photo of dangerous drugs.,Waste,Chemical waste,Chemical waste,Chemical waste
994,There are dangerous drugs in the photo.,Waste,Chemical waste,Chemical waste,Chemical waste
995,"There are dangerous drugs, see photo.",Waste,Chemical waste,Chemical waste,Chemical waste
996,See photo of dangerous drugs,Waste,Chemical waste,Chemical waste,Chemical waste
997,Is it possible to retrieve the waste near the Regentesselaan as soon as possible?,Waste,Chemical waste,Chemical waste,Chemical waste
998,Is it possible to get the waste and paint on the square as soon as possible?,Waste,Chemical waste,Chemical waste,Chemical waste
